Date|Distribuidora||Original|Regex|Processado|No Stopwords
2021-02-02|Light|716|"eu tô simplesmente sentada num banquinho em baixo do chuveiro com meu celular dentro da capinha a prova dágua pq a light não veio até agora ajeitar a luz
já são 7h sem luz
@lightclientes"|eu tô simplesmente sentada num banquinho em baixo do chuveiro com meu celular dentro da capinha a prova dágua pq a light não veio até agora ajeitar a luz já são 7h sem luz|simplesmente sentada banquinho baixo chuveiro celular dentro capinha prova dágua pq agora ajeitar luz 7h luz|simplesmente sentada banquinho baixo chuveiro celular dentro capinha prova dágua pq agora ajeitar luz 7h luz
2021-02-02|Light|717|@frozenfoca Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|718|"@lightclientes LIGHT CADÊ A LUZ DESDE 21H SEM LUZ
UM CALOR DESSE MERMÃO
VCS NÃO VIERAM ATÉ AGORA"|LIGHT CADÊ A LUZ DESDE 21H SEM LUZ UM CALOR DESSE MERMÃO VCS NÃO VIERAM ATÉ AGORA|cadê luz 21h luz calor vcs vieram agora|cadê luz 21h luz calor vcs vieram agora
2021-02-02|Light|719|@lightclientes @ANEEL_govbr CADÊ A LUZ LIGHT|CADÊ A LUZ LIGHT|cadê luz|cadê luz
2021-02-02|Light|720|@lightclientes Ja fiz isso. E a previsão de vocês é pra 9:30 da manhã. Um absurdo.|Ja fiz isso. E a previsão de vocês é pra 9:30 da manhã. Um absurdo.|ja fiz previsão 9:30 manhã absurdo|ja fiz previsão 9:30 manhã absurdo
2021-02-02|Light|721|@JGDamasceno Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|722|@lightclientes acabou a luz aqui, amada|acabou a luz aqui, amada|acabou luz aqui amada|acabou luz aqui amada
2021-02-02|Light|723|@lightclientes Light desumano deixar as pessoas sem energia elétrica em meio a um verão carioca e em meio a uma pandemia! Desumano! Vai ter JEC. Intolerável|Light desumano deixar as pessoas sem energia elétrica em meio a um verão carioca e em meio a uma pandemia! Desumano! Vai ter JEC. Intolerável|desumano deixar pessoas energia elétrica meio verão carioca meio pandemia desumano ter jec intolerável|desumano deixar pessoas energia elétrica meio verão carioca meio pandemia desumano ter jec intolerável
2021-02-02|Light|724|"@lightclientes @OperacoesRio @Prefeitura_Rio @Alerta_Estado 
É inviável ficar sem energia elétrica nesse calor... com prazo de até 9:30 da manhã para restabelecer. BORA querer?! Prq ninguém aguenta isso não"|É inviável ficar sem energia elétrica nesse calor... com prazo de até 9:30 da manhã para restabelecer. BORA querer?! Prq ninguém aguenta isso não|inviável ficar energia elétrica calor prazo 9:30 manhã restabelecer bora querer aguenta|inviável ficar energia elétrica calor prazo 9:30 manhã restabelecer bora querer aguenta
2021-02-02|Light|725|@lightclientes Bom dia, sou do Bairro  de Turiaçu e está sem luz, tem alguma previsão de volta?|Bom dia, sou do Bairro de Turiaçu e está sem luz, tem alguma previsão de volta?|bom dia bairro turiaçu luz previsão volta|bom dia bairro turiaçu luz previsão volta
2021-02-02|Light|726|@lightclientes previsão de restabelecimento até 9:23 minutos? Tá de brincadeira? Num calor desses... Misericórdia! O pobre só se lasca mesmo!|previsão de restabelecimento até 9:23 minutos? Tá de brincadeira? Num calor desses... Misericórdia! O pobre só se lasca mesmo!|previsão restabelecimento tá brincadeira calor misericórdia pobre lasca|previsão restabelecimento tá brincadeira calor misericórdia pobre lasca
2021-02-02|Light|727|@lightclientes Já mandei.  Está muito calor.  Estou passando mal.|Já mandei. Está muito calor. Estou passando mal.|mandei calor passando mal|mandei calor passando mal
2021-02-02|Light|728|@Verinha2 Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|729|@lightclientes Por favor, estou sem energia  há 2 horas. Muito calor.|Por favor, estou sem energia há 2 horas. Muito calor.|favor energia horas calor|favor energia horas calor
2021-02-02|Light|730|@ManoDi_Mc @lightclientes Tigre neles paizao, ntj|Tigre neles paizao, ntj|tigre ntj|tigre ntj
2021-02-02|Light|731|Alô @lightclientes tem alguma previsão para o religamento da luz por gentileza?|Alô tem alguma previsão para o religamento da luz por gentileza?|previsão religamento luz gentileza|previsão religamento luz gentileza
2021-02-02|Light|732|"Sério, @lightclientes ???? Sem energia novamente? 
Duas vezes em uma semana, mais uma, e dá pra pedir música pro Faustão. 
Vou te contar, hein! 🤬"|Sério, ???? Sem energia novamente? Duas vezes em uma semana, mais uma, e dá pra pedir música pro Faustão. Vou te contar, hein! 🤬|energia novamente vezes semana dá pedir música contar hein 🤬|energia novamente vezes semana dá pedir música contar hein 🤬
2021-02-02|Light|733|@lightclientes antes que vc diga: bom dia é o caralho! Um calor do caralho e cadê a luz em Marechal hermes?|antes que vc diga: bom dia é o caralho! Um calor do caralho e cadê a luz em Marechal hermes?|antes diga bom dia caralho calor cadê luz|antes diga bom dia caralho calor cadê luz
2021-02-02|Light|734|@vanserpa Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|735|RT @lightclientes: @Clara_Sanuto Estamos realizando manutenção programada para melhoria da sua rede. O término previsto é às 02:21. Obrigad…|Estamos realizando manutenção programada para melhoria da sua rede. O término previsto é às 02:21. Obrigad…|realizando manutenção programada melhoria rede término previsto|realizando manutenção programada melhoria rede término previsto
2021-02-02|Light|736|@lightclientes Já mandei!|Já mandei!|mandei|mandei
2021-02-02|Light|737|"@lightclientes uma vergonha
Nesse calor e rua icurana projetada G cep 230590340 n 531 sem luz"|uma vergonha Nesse calor e rua icurana projetada G cep 230590340 n 531 sem luz|vergonha calor rua icurana projetada luz|vergonha calor rua icurana projetada luz
2021-02-02|Light|738|Privatiza que melhora... Mentira descarada a @lightclientes  tem um serviço de bosta. Basta um chuvinha e fica nessa putaria de vai e volta da luz. #tomanocu|Privatiza que melhora... Mentira descarada a tem um serviço de bosta. Basta um chuvinha e fica nessa putaria de vai e volta da luz.|privatiza melhora mentira descarada serviço bosta basta chuvinha fica putaria vai volta luz|privatiza melhora mentira descarada serviço bosta basta chuvinha fica putaria vai volta luz
2021-02-02|Light|739|@lightclientes PELO AMOR DE DEUS ESTAMOS SEM LUZ EM MARECHAL HERMES|PELO AMOR DE DEUS ESTAMOS SEM LUZ EM MARECHAL HERMES|luz|luz
2021-02-02|Light|740|@damajordao @lightclientes Será que volta esse horário mesmo?|Será que volta esse horário mesmo?|volta horário|volta horário
2021-02-02|Light|741|@lightclientes Sim desde meia noite!!!|Sim desde meia noite!!!|sim noite|sim noite
2021-02-02|Light|742|Previsão pra volta da luz em HG e MH é 02:21 😠😠😠😠 MAIS UMA HORA SEM LUZ E QUEM ACORDA CEDO PRA TRABALHAR SÓ SE LASCA @lightclientes|Previsão pra volta da luz em HG e MH é 02:21 😠😠😠😠 MAIS UMA HORA SEM LUZ E QUEM ACORDA CEDO PRA TRABALHAR SÓ SE LASCA|previsão volta luz hora luz acorda cedo trabalhar lasca|previsão volta luz hora luz acorda cedo trabalhar lasca
2021-02-02|Light|743|@mimadodehonorio @lightclientes Vem pra paracambi hehehe|Vem pra paracambi hehehe|vem|vem
2021-02-02|Light|744|@lightclientes qual é  a previsão de reestabelecer a luz em marechal Hermes e arredores?|qual é a previsão de reestabelecer a luz em marechal Hermes e arredores?|previsão reestabelecer luz arredores|previsão reestabelecer luz arredores
2021-02-02|Light|745|@mimadodehonorio Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|746|@Rayane2505 Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|747|@pedro_canthe Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|748|Sem condições nenhuma de dormir nesse calor sem ventilador. Papelão da @lightclientes 🤡🤡🤡|Sem condições nenhuma de dormir nesse calor sem ventilador. Papelão da 🤡🤡🤡|condições dormir calor ventilador|condições dormir calor ventilador
2021-02-02|Light|749|@lightclientes cade a porcaria da luz que foi e não voltou ainda ? Quem acorda cedo pra trabalhar fica como????|cade a porcaria da luz que foi e não voltou ainda ? Quem acorda cedo pra trabalhar fica como????|cade porcaria luz voltou ainda acorda cedo trabalhar fica|cade porcaria luz voltou ainda acorda cedo trabalhar fica
2021-02-02|Light|750|@lightclientes Estou sem luz|Estou sem luz|luz|luz
2021-02-02|Light|751|@Quiiiito Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|752|RT @mssvictoriax: CADÊ A LUZ AQUI EM HONORIO GURGEL?????? @lightclientes|CADÊ A LUZ AQUI EM HONORIO GURGEL??????|cadê luz aqui honorio gurgel|cadê luz aqui honorio gurgel
2021-02-02|Light|753|@drunktextrome Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|754|@lightclientes eai dona light 1 hora sem luz em Honório Gurgel e eu com uma senhora de 87 anos em casa nesse calor?|eai dona light 1 hora sem luz em Honório Gurgel e eu com uma senhora de 87 anos em casa nesse calor?|eai dona hora luz honório senhora casa calor|eai dona hora luz honório senhora casa calor
2021-02-02|Light|755|@mssvictoriax Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|756|Alô @lightclientes vamo querer reestabelecer a luz né tá um calor da porra|Alô vamo querer reestabelecer a luz né tá um calor da porra|vamo querer reestabelecer luz tá calor porra|vamo querer reestabelecer luz tá calor porra
2021-02-02|Light|757|@lightclientes cade a luz porra|cade a luz porra|cade luz porra|cade luz porra
2021-02-02|Light|758|RT @mssvictoriax: CADÊ A LUZ AQUI EM HONORIO GURGEL?????? @lightclientes|CADÊ A LUZ AQUI EM HONORIO GURGEL??????|cadê luz aqui honorio gurgel|cadê luz aqui honorio gurgel
2021-02-02|Light|759|CADÊ A LUZ AQUI EM HONORIO GURGEL?????? @lightclientes|CADÊ A LUZ AQUI EM HONORIO GURGEL??????|cadê luz aqui honorio gurgel|cadê luz aqui honorio gurgel
2021-02-02|Light|760|@Luacarneiro8 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|761|@lightclientes ja voltou tia, obrigada 😎🤙🏻|ja voltou tia, obrigada 😎🤙🏻|voltou tia obrigada|voltou tia obrigada
2021-02-02|Light|762|@lightclientes Vocês vão me retornar ou vou precisar entrar no ReclameAqui? Sem luz e sem atendimento.|Vocês vão me retornar ou vou precisar entrar no ReclameAqui? Sem luz e sem atendimento.|retornar precisar entrar reclameaqui luz atendimento|retornar precisar entrar reclameaqui luz atendimento
2021-02-02|Light|763|"@Gabii_teless Olá, bom dia. Espero que esteja tudo bem com você!
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|764|@lightclientes Impossível tá tudo bem com mais de 1h sem luz nesse calor né|Impossível tá tudo bem com mais de 1h sem luz nesse calor né|impossível tá bem 1h luz calor|impossível tá bem 1h luz calor
2021-02-02|Light|765|@LMC240570 @bandnewsfmrio @cbnrio @radiotupi @RadioGloboRio @NovaRadioGlobo @LeiSecaRJ @CascaduraAoVivo @Cascadura_ Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|766|"@Luacarneiro8 Olá, bom dia. Espero que esteja tudo bem com você!
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|767|"@_Ingridhonorato @CedaeRJ Olá, bom dia. Espero que esteja tudo bem com você!
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|768|@lightclientes O bairro inteiro de iraja esta sem luz e vcs CLARO QUE SABEM, não vou sair no escuro 1:09 da manhã pra pegar numero de cliente. Tuitei somente pq se queimar uma lampada sequer eu vou pra justiça e ja anexo no processo tb. Vcs pra cobrar são ótimos e eficientes.|O bairro inteiro de iraja esta sem luz e vcs CLARO QUE SABEM, não vou sair no escuro 1:09 da manhã pra pegar numero de cliente. Tuitei somente pq se queimar uma lampada sequer eu vou pra justiça e ja anexo no processo tb. Vcs pra cobrar são ótimos e eficientes.|bairro iraja luz claro sabem sair escuro 1:09 manhã pegar numero cliente tuitei somente pq queimar lampada sequer justiça processo cobrar ótimos eficientes|bairro iraja luz claro sabem sair escuro 1:09 manhã pegar numero cliente tuitei somente pq queimar lampada sequer justiça processo cobrar ótimos eficientes
2021-02-02|Light|769|@Caiomm6 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|comunica falta luz enviando instalação espaço obrigado|comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|770|Volta luuuuz 😭 @lightclientes a Lumena disse que vocês não tinham esse direto, estão tocando na dor do carioca que está com calor!!!|Volta luuuuz 😭 a Lumena disse que vocês não tinham esse direto, estão tocando na dor do carioca que está com calor!!!|volta disse direto tocando dor carioca calor|volta disse direto tocando dor carioca calor
2021-02-02|Light|771|@thamirsc Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|772|@crf__sarahh Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|773|"@Guidemoura7 Olá, bom dia. Espero que esteja tudo bem com você.
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você. Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|774|Que calor insuportável, @lightclientes colabora aí 🙏🏼|Que calor insuportável, colabora aí 🙏🏼|calor insuportável colabora aí 🙏|calor insuportável colabora aí 🙏
2021-02-02|Light|775|"CARALHO @lightclientes vocês tão disputando com a @CedaeRJ pra ver quem mata o carioca suburbano primeiro né. 
Calor desse e já tô a 1 hora sem luz aqui no Irajá."|CARALHO vocês tão disputando com a pra ver quem mata o carioca suburbano primeiro né. Calor desse e já tô a 1 hora sem luz aqui no Irajá.|disputando ver mata carioca suburbano calor hora luz aqui irajá|disputando ver mata carioca suburbano calor hora luz aqui irajá
2021-02-02|Light|776|@lightclientes vamos querer consertar a luz de Marechal Hermes. A conta já é cara demais pra passarmos perrengue no calor.|vamos querer consertar a luz de Marechal Hermes. A conta já é cara demais pra passarmos perrengue no calor.|querer consertar luz conta cara demais passarmos perrengue calor|querer consertar luz conta cara demais passarmos perrengue calor
2021-02-02|Light|777|@lightclientes sem luz em Irajá ,uma hora dessa! Um calor desse.|sem luz em Irajá ,uma hora dessa! Um calor desse.|luz hora calor|luz hora calor
2021-02-02|Light|778|@lightclientes por favor da um jeito aqui, dormir no calor é foda|por favor da um jeito aqui, dormir no calor é foda|favor jeito aqui dormir calor foda|favor jeito aqui dormir calor foda
2021-02-02|Light|779|@lightclientes Espero que esteja bem? 1 da manhã, com geladeira desligada e correndo risco de perder tudo que tenho dentro dela e vocês me perguntam se estou bem? Vocês estão de brincadeira, né?|Espero que esteja bem? 1 da manhã, com geladeira desligada e correndo risco de perder tudo que tenho dentro dela e vocês me perguntam se estou bem? Vocês estão de brincadeira, né?|espero bem manhã geladeira desligada correndo risco perder dentro perguntam bem|espero bem manhã geladeira desligada correndo risco perder dentro perguntam bem
2021-02-02|Light|780|@laaysmt Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|781|eae @lightclientes eu quero minha luz|eae eu quero minha luz|quero luz|quero luz
2021-02-02|Light|782|@lightclientes ja acabou a luz umas seis vezes aqui em Iraja, se queimar tudo aqui na minha casa o processo vai chegar tão rápido quanto vcs são para cobrar conta. Que fique registrado aqui, e a propósito nao vou sair no escuro pra procurar numero do cliente pra DM.|ja acabou a luz umas seis vezes aqui em Iraja, se queimar tudo aqui na minha casa o processo vai chegar tão rápido quanto vcs são para cobrar conta. Que fique registrado aqui, e a propósito nao vou sair no escuro pra procurar numero do cliente pra DM.|acabou luz vezes aqui iraja queimar aqui casa processo chegar tão rápido quanto cobrar conta fique registrado aqui propósito sair escuro procurar numero cliente|acabou luz vezes aqui iraja queimar aqui casa processo chegar tão rápido quanto cobrar conta fique registrado aqui propósito sair escuro procurar numero cliente
2021-02-02|Light|783|@ChrisHSantos Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|784|gostaria de agradecer a @lightclientes pela péssima noite de sono que estou tento. sério vocês não sabem como é bom a sensação de não ter gato de energia, pagar 900 reais em conta de luz e ficar sem a eletricidade.|gostaria de agradecer a pela péssima noite de sono que estou tento. sério vocês não sabem como é bom a sensação de não ter gato de energia, pagar 900 reais em conta de luz e ficar sem a eletricidade.|gostaria agradecer péssima noite sono tento sabem bom sensação ter gato energia pagar conta luz ficar eletricidade|gostaria agradecer péssima noite sono tento sabem bom sensação ter gato energia pagar conta luz ficar eletricidade
2021-02-02|Light|785|"@_MorenaRafaella Olá, bom dia. Espero que esteja tudo bem com você!

Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|786|@lightclientes Honório e adjacências sem luz vamos agir light tá caloooooooor #luz|Honório e adjacências sem luz vamos agir light tá caloooooooor|adjacências agir tá|adjacências agir tá
2021-02-02|Light|787|"@a_cahue Olá, bom dia. Espero que esteja tudo bem com você!
Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|788|"Todo dia agr essa palhaçada de ficar sem luz!
Alo @lightclientes poderia vir resolver seu probleminha???????????????"|Todo dia agr essa palhaçada de ficar sem luz! Alo poderia vir resolver seu probleminha???????????????|dia agr palhaçada ficar luz alo resolver probleminha|dia agr palhaçada ficar luz alo resolver probleminha
2021-02-02|Light|789|"@Jessica_Pernis Olá, bom dia. Espero que esteja tudo bem com você!
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|790|"Bastou chover 15 minutos e a energia cai. Agora volta com uma fase a 50v.
Resolve se light! Logo a fase do ar-condicionado!
@lightclientes"|Bastou chover 15 minutos e a energia cai. Agora volta com uma fase a 50v. Resolve se light! Logo a fase do ar-condicionado!|bastou chover energia cai agora volta fase 50v resolve light logo fase ar-condicionado|bastou chover energia cai agora volta fase 50v resolve light logo fase ar-condicionado
2021-02-02|Light|791|"@pelizari_htaa Olá, bom dia. Espero que esteja tudo bem com você!
 Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|792|@lightclientes #luz 0410568418|0410568418||
2021-02-02|Light|793|@juumendessss Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|794|@lightclientes sem luz em Marechal Hermes e Honório Gurgel há quase 1h light, da um jeito|sem luz em Marechal Hermes e Honório Gurgel há quase 1h light, da um jeito|luz quase 1h light jeito|luz quase 1h light jeito
2021-02-02|Light|795|@lightclientes Já enviei tem quase 3h pelo app|Já enviei tem quase 3h pelo app|enviei quase 3h app|enviei quase 3h app
2021-02-02|Light|796|@rosaes_gabriel Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|797|Tenho que ficar cobrando um retorno da @lightclientes toda hora em público aqui pra eles prosseguirem com o atendimento via DM, sinceramente 🤡|Tenho que ficar cobrando um retorno da toda hora em público aqui pra eles prosseguirem com o atendimento via DM, sinceramente 🤡|cobrando retorno hora público aqui prosseguirem atendimento sinceramente|cobrando retorno hora público aqui prosseguirem atendimento sinceramente
2021-02-02|Light|798|"@ritmoalucinante Olá, bom dia. Espero que esteja tudo bem com você!
Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!"|Olá, bom dia. Espero que esteja tudo bem com você! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado|olá bom dia espero bem comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|799|@MariDutra_ Olá! Você comunica a falta de luz enviando por DM para o @lightclientes #luz instalação, com espaço. Ex: #luz 040666663. Obrigado!|Olá! Você comunica a falta de luz enviando por DM para o instalação, com espaço. Ex: 040666663. Obrigado!|olá comunica falta luz enviando instalação espaço obrigado|olá comunica falta luz enviando instalação espaço obrigado
2021-02-02|Light|800|@lightclientes @lightclientes querida, AINDA estou sem energia no meio de uma madrugada quente de verão no RJ. Hoje tenho de acordar cedo pra trabalhar, como faz? Me ajuda!|querida, AINDA estou sem energia no meio de uma madrugada quente de verão no RJ. Hoje tenho de acordar cedo pra trabalhar, como faz? Me ajuda!|querida ainda energia meio madrugada quente rj hoje acordar cedo trabalhar faz ajuda|querida ainda energia meio madrugada quente rj hoje acordar cedo trabalhar faz ajuda
2021-02-02|Light|801|@lightclientes A luz já caiu e voltou 6 vezes  em 20 min. Se queimar tudo vocês vão pagar?|A luz já caiu e voltou 6 vezes em 20 min. Se queimar tudo vocês vão pagar?|luz caiu voltou vezes queimar pagar|luz caiu voltou vezes queimar pagar
